,response id,birth year,gender,industry desc,occupation desc,organization size,manage others?,household,years at job,metro or regional,rw percentage (2020),org encouraged rw?,org prepared for rw?,rw is common at org?,rw permission is attainable,rw collaboration easy?,preferred rw percentage (2020),preferred rw percentage (future),if no covid: employer encourage rw ,if no covid: employer support rw,if no covid: i would have choice about rw,productivity (remote vs office),in-person: hours  commuting ,in-person: hours  working,in-person: hours  personal/family time,in-person: hours domestic responsibilities,remote: hours commuting ,remote: hours working,remote: hours personal/family time,remote: hours domestic responsibilities
2697,1191,1990,Female,Health Care and Social Assistance,Professionals - Health Professionals,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,I would not have preferred to work remotely,Less than 10% of my time,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,1.0,8.0,4.0,4.0,0.25,8.0,4.7,4.0
2698,1192,1989,Male,"Transport, Postal and Warehousing",Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,80%,50% - About half of my time,Very likely,Very likely,Somewhat likely,I’m 30% more productive when working remotely,2.0,9.0,5.0,2.0,0.0,10.0,5.0,2.0
2699,1193,1987,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,20%,30%,Neither unlikely or likely,Somewhat likely,Very likely,I’m 20% more productive when working remotely,2.0,12.0,4.0,4.0,5.0,6.0,2.0,8.0
2700,1194,1982,Male,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,One parent family with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,20%,Very likely,Very likely,Very likely,I’m 50% more productive when working remotely (or more),3.0,10.0,2.0,2.0,1.0,10.0,4.0,2.0
2701,1195,1994,Female,Other Services,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,Rarely or never,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,50% - About half of my time,60%,Very unlikely,Very unlikely,Very unlikely,I’m 50% more productive when working remotely (or more),3.0,9.0,3.0,3.0,1.0,8.0,4.0,3.0
2702,1196,1988,Female,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,No,One parent family with dependent children,Between 1 and 5 years,Metro,90%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,90%,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% more productive when working remotely,2.0,8.0,4.0,2.0,2.0,8.0,4.0,2.0
2703,1197,1959,Female,Arts and Recreation,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Single person,More than 5 years,Regional,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,2.0,12.0,1.0,1.0,0.0,10.0,2.0,2.0
2704,1198,1957,Female,Construction,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Single person,Between 6 and 12 months,Metro,Less than 10% of my time,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,50% - About half of my time,Very unlikely,Very unlikely,Very unlikely,I’m 20% more productive when working remotely,2.0,8.0,2.0,4.0,3.0,8.0,1.0,4.0
2705,1199,1992,Male,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,60%,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,80%,60%,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,2.5,10.0,3.5,0.0,0.0,10.0,6.0,0.0
2706,1200,1958,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,I would prefer not to work remotely,Neither unlikely or likely,Somewhat likely,Somewhat likely,I’m 10% more productive when working remotely,2.0,6.0,4.0,4.0,2.0,7.0,3.0,4.0
2707,1201,1975,Male,"Agriculture, Forestry and Fishing","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Regional,30%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,20%,70%,Somewhat likely,Neither unlikely or likely,Very likely,I’m 40% more productive when working remotely,1.0,5.0,6.0,2.0,1.0,5.0,5.0,3.0
2708,1202,2000,Female,Education and Training,Managers - Specialist Managers,Between 20 and 199,Yes,One parent family with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,20%,Neither unlikely or likely,Somewhat unlikely,Somewhat unlikely,I’m 40% more productive when working remotely,3.0,6.0,4.0,3.0,3.0,6.0,4.0,3.0
2709,1203,1987,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,80%,60%,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,1.5,8.5,4.0,3.0,0.0,8.0,6.0,3.0
2710,1204,1986,Male,"Electricity, Gas, Water and Waste","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,100% - All of my time,70%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 20% less productive when working remotely,3.5,7.0,2.0,3.5,0.5,8.0,4.5,3.0
2711,1205,1972,Female,Health Care and Social Assistance,Community and personal service workers - Health and Welfare Support Workers,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,10%,50% - About half of my time,Very unlikely,Very unlikely,Very unlikely,I’m 50% more productive when working remotely (or more),3.0,4.0,8.0,2.0,4.0,4.0,7.0,2.0
2712,1206,1969,Female,Construction,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,One parent family with dependent children,More than 5 years,Metro,10%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,20%,20%,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,I’m 40% more productive when working remotely,5.0,8.0,3.0,3.0,5.0,8.0,3.0,3.0
2713,1207,1988,Male,Construction,Clerical and administrative workers - Inquiry Clerks and Receptionists,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Very likely,Very likely,Very likely,I’m 40% more productive when working remotely,1.0,7.0,4.0,5.0,1.0,7.0,4.0,5.0
2714,1208,1991,Male,Information Media and Telecommunications,Professionals - ICT Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Very likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% more productive when working remotely,2.0,8.0,2.0,4.0,2.0,8.0,2.0,4.0
2715,1209,1987,Male,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Single person,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,80%,80%,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,2.0,9.0,5.0,2.0,1.0,12.0,3.0,3.0
2716,1210,1985,Male,Financial and Insurance,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Multiple family household,Between 1 and 5 years,Regional,90%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,90%,70%,Very likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,4.0,8.0,1.0,2.0,5.0,8.0,2.0,1.0
2717,1211,1976,Female,Health Care and Social Assistance,Technicians and trades workers - Food Trades Workers,More than 200,No,Couple with dependent children,More than 5 years,Regional,60%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,60%,60%,Very likely,Somewhat likely,Very likely,I’m 30% more productive when working remotely,4.0,8.5,1.0,2.5,5.0,8.0,1.0,3.0
2718,1212,1988,Female,Other Services,Labourers - Other Labourers,More than 200,No,Single person,More than 5 years,Regional,80%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,80%,80%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),0.25,9.7,5.0,2.0,0.5,10.0,5.0,2.0
2719,1213,1960,Female,Administrative and Support,Clerical and administrative workers - General Clerical Workers,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,80%,Neither unlikely or likely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,1.0,8.0,3.0,4.0,0.0,8.0,4.0,4.0
2720,1214,1988,Female,"Professional, Scientific and Technical",Technicians and trades workers - Other Technicians and Trades Workers,Between 20 and 199,Yes,Single person,More than 5 years,Regional,Less than 10% of my time,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,I would not have preferred to work remotely,I would prefer not to work remotely,Very unlikely,Very unlikely,Very unlikely,My productivity is about same when I work remotely,1.0,8.0,4.0,3.0,0.0,9.0,4.0,3.0
2721,1215,1990,Female,Retail Trade,Community and personal service workers - Carers and Aides,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,Less than 10% of my time,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Very unlikely,Very unlikely,Very unlikely,I’m 50% more productive when working remotely (or more),1.0,8.0,5.0,2.0,0.0,7.0,6.0,3.0
2722,1216,1972,Male,"Electricity, Gas, Water and Waste",Clerical and administrative workers - General Clerical Workers,Between 20 and 199,Yes,One parent family with dependent children,Between 6 and 12 months,Regional,50% - I spent about half of my time remote working,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,20%,10%,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% more productive when working remotely,4.0,8.0,1.0,1.0,5.0,5.0,5.0,5.0
2723,1217,1990,Female,Administrative and Support,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat unlikely,Somewhat unlikely,Neither unlikely or likely,I’m 30% more productive when working remotely,1.5,8.5,2.0,3.0,0.0,8.5,3.5,2.0
2724,1218,1988,Male,Education and Training,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,No,Couple with no dependent children,More than 5 years,Regional,20%,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,20%,I would prefer not to work remotely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m 10% more productive when working remotely,0.5,7.5,4.0,4.0,0.0,7.5,3.5,5.0
2725,1219,1991,Female,Construction,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Other one family household,Between 1 and 5 years,Regional,Rarely or never,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,100% - All of my time,100% - All of my time,Very unlikely,Very unlikely,Very unlikely,I’m 20% more productive when working remotely,2.5,9.0,2.0,1.5,0.5,9.0,3.5,2.0
2726,1220,1988,Male,Health Care and Social Assistance,Professionals - Health Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Regional,20%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,20%,20%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,8.0,4.0,3.0,2.0,4.0,6.0,4.0,3.0
2727,1221,1959,Female,Education and Training,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,No,Couple with no dependent children,More than 5 years,Regional,Less than 10% of my time,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,I would prefer not to work remotely,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,My productivity is about same when I work remotely,1.0,7.5,5.0,2.0,0.0,6.0,5.0,5.0
2728,1222,1972,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,70%,70%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),4.0,8.0,2.0,2.0,0.5,9.0,2.0,4.5
2729,1223,1976,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,90%,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,My productivity is about same when I work remotely,0.5,8.0,5.0,3.0,0.0,8.0,4.5,4.0
2730,1224,1972,Male,Information Media and Telecommunications,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,No,Group household,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Very likely,Very likely,Neither unlikely or likely,My productivity is about same when I work remotely,0.0,7.0,8.0,1.0,0.0,7.0,8.0,1.0
2731,1225,1957,Female,Other Services,Professionals - Health Professionals,Between 20 and 199,No,Multiple family household,More than 5 years,Regional,Rarely or never,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,20%,30%,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,I’m 10% more productive when working remotely,0.5,7.0,3.5,4.0,0.25,7.0,3.7,4.0
2732,1226,1957,Female,Other Services,"Professionals - Legal, Social and Welfare Professionals",I am a sole trader/owner-operator,No,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Very likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),0.0,8.0,6.0,2.0,0.0,8.0,6.0,2.0
2733,1227,1959,Female,Public Administration and Safety,Community and personal service workers - Protective Service Workers,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,50% - I spent about half of my time remote working,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,80%,70%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),2.0,7.0,4.0,3.0,2.0,7.0,5.0,2.0
2734,1228,1975,Male,Public Administration and Safety,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with dependent children,More than 5 years,Regional,Less than 10% of my time,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,20%,20%,Very unlikely,Very unlikely,Very unlikely,My productivity is about same when I work remotely,2.0,9.0,5.0,2.0,0.25,9.5,5.25,3.0
2735,1229,1958,Male,Health Care and Social Assistance,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,Yes,Single person,Between 1 and 5 years,Regional,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,30%,20%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 40% more productive when working remotely,2.0,6.0,2.0,7.0,1.0,8.0,4.0,4.0
2736,1230,1964,Female,Education and Training,Professionals - Education Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,40%,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 40% more productive when working remotely,1.0,8.0,4.0,3.0,0.0,8.0,4.0,4.0
2737,1231,1962,Male,Construction,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,100% - All of my time,50% - About half of my time,Neither unlikely or likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,2.0,8.0,3.0,3.0,0.0,9.0,4.0,3.0
2738,1232,1970,Female,Education and Training,Professionals - Education Professionals,Between 5 and 19,No,Multiple family household,More than 5 years,Regional,100% - I spent all of my time remote working,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,80%,Somewhat likely,Somewhat unlikely,Somewhat unlikely,My productivity is about same when I work remotely,3.0,8.0,3.0,2.0,3.0,8.0,3.0,3.0
2739,1233,1963,Male,Other Services,Managers - Specialist Managers,More than 200,No,Single person,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Very likely,Very likely,Somewhat likely,I’m 40% more productive when working remotely,0.5,6.5,4.0,4.0,1.0,7.0,4.0,4.0
2740,1234,1965,Male,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Single person,Between 6 and 12 months,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,70%,60%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 10% more productive when working remotely,0.5,8.0,6.5,1.0,0.5,8.0,6.0,1.5
2741,1235,1961,Male,Mining,"Technicians and trades workers - Engineering, ICT and Science Technicians",Between 20 and 199,No,Single person,More than 5 years,Regional,Rarely or never,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,I would not have preferred to work remotely,100% - All of my time,Somewhat likely,Very likely,Very likely,I’m 20% less productive when working remotely,1.5,10.0,4.0,1.0,0.5,10.0,4.0,1.0
2742,1236,1964,Male,Education and Training,Professionals - Education Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,20%,20%,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,0.5,8.0,5.0,3.0,0.0,8.0,5.5,3.0
2743,1237,1960,Male,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Regional,Less than 10% of my time,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 30% more productive when working remotely,4.0,6.0,3.5,1.5,3.0,6.0,4.0,2.0
2744,1238,1961,Male,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Regional,90%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,90%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),7.0,7.5,2.0,1.0,0.0,8.0,4.0,2.0
2745,1239,1992,Male,Wholesale Trade,Technicians and trades workers - Construction Trades Workers,Between 1 and 4,Yes,Other one family household,Between 1 and 5 years,Regional,50% - I spent about half of my time remote working,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,40%,40%,Very unlikely,Somewhat unlikely,Neither unlikely or likely,I’m 40% more productive when working remotely,12.0,6.0,2.0,2.0,5.0,5.0,2.0,6.0
2746,1240,1957,Female,Education and Training,Clerical and administrative workers - Clerical and Office Support Workers,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,Rarely or never,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,I would not have preferred to work remotely,I would prefer not to work remotely,Very unlikely,Somewhat likely,Neither unlikely or likely,I’m 30% more productive when working remotely,1.5,7.5,3.0,4.0,0.5,7.5,4.0,4.0
2747,1241,1966,Male,Retail Trade,Sales workers - Sales Assistants and Salespersons,Between 5 and 19,No,Single person,More than 5 years,Regional,20%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,I would not have preferred to work remotely,I would prefer not to work remotely,Very unlikely,Somewhat unlikely,Somewhat unlikely,My productivity is about same when I work remotely,0.5,8.0,5.5,2.0,0.0,8.0,6.0,2.0
2748,1242,1961,Male,Other Services,Labourers - Other Labourers,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Regional,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,My productivity is about same when I work remotely,3.0,4.0,4.0,6.0,2.0,8.0,5.0,2.0
2749,1243,1968,Male,Arts and Recreation,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Regional,50% - I spent about half of my time remote working,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,20%,Somewhat unlikely,Somewhat unlikely,Neither unlikely or likely,I’m 30% more productive when working remotely,4.0,10.0,2.0,2.0,0.0,10.0,4.0,4.0
2750,1244,1960,Male,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Regional,20%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,I would not have preferred to work remotely,I would prefer not to work remotely,Very unlikely,Somewhat likely,Very unlikely,My productivity is about same when I work remotely,0.5,8.5,6.0,3.0,0.0,8.5,6.5,3.0
2751,1245,1958,Female,Education and Training,Managers - Specialist Managers,More than 200,Yes,Single person,Between 1 and 5 years,Regional,90%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,90%,90%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),2.0,6.0,4.0,4.0,0.0,8.0,5.0,3.0
2752,1246,1961,Female,Education and Training,Professionals - Education Professionals,More than 200,No,Single person,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,20%,20%,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,2.0,3.0,5.0,6.0,1.0,3.0,5.0,6.0
2753,1247,1961,Male,Manufacturing,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Multiple family household,More than 5 years,Regional,Rarely or never,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Less than 10% of my time,I would prefer not to work remotely,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 20% less productive when working remotely,1.0,8.0,5.0,2.0,1.0,9.0,5.0,4.0
2754,1248,1960,Male,Manufacturing,"Technicians and trades workers - Engineering, ICT and Science Technicians",More than 200,No,Couple with no dependent children,More than 5 years,Regional,Less than 10% of my time,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,80%,80%,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 30% more productive when working remotely,1.5,7.5,6.0,2.0,0.0,8.0,7.0,2.0
2755,1249,1964,Male,Financial and Insurance,Professionals - ICT Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,90%,Somewhat likely,Very likely,Very likely,My productivity is about same when I work remotely,2.0,7.5,5.5,1.0,0.0,7.5,7.5,1.0
2756,1250,1969,Male,Information Media and Telecommunications,Clerical and administrative workers - Inquiry Clerks and Receptionists,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,30%,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,10%,Neither unlikely or likely,Somewhat likely,Somewhat unlikely,I’m 10% less productive when working remotely,1.0,8.0,7.0,1.0,0.0,8.0,8.0,1.0
2757,1251,1968,Male,Other Services,Clerical and administrative workers - General Clerical Workers,Between 20 and 199,No,Couple with dependent children,More than 5 years,Regional,Rarely or never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,100% - All of my time,100% - All of my time,Very unlikely,Very unlikely,Very unlikely,I’m 50% more productive when working remotely (or more),2.0,8.0,4.0,2.0,0.0,8.0,6.0,2.0
2758,1252,1982,Male,"Transport, Postal and Warehousing","Managers - Hospitality, Retail and Service Managers",More than 200,No,Single person,Between 1 and 5 years,Regional,20%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,40%,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% more productive when working remotely,0.7,8.0,5.3,2.0,0.0,8.5,4.5,3.0
2759,1253,1961,Female,Education and Training,Professionals - Education Professionals,More than 200,No,Single person,Between 6 and 12 months,Regional,70%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,I would not have preferred to work remotely,I would prefer not to work remotely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 30% less productive when working remotely,1.5,5.0,7.5,2.0,1.0,5.0,8.0,2.0
2760,1254,1987,Female,Education and Training,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Single person,More than 5 years,Regional,30%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Less than 10% of my time,I would prefer not to work remotely,Very unlikely,Very unlikely,Very unlikely,I’m 20% less productive when working remotely,1.5,8.0,5.0,3.5,0.5,10.0,3.0,2.5
2761,1255,1962,Male,Manufacturing,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Regional,10%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,20%,20%,Somewhat unlikely,Neither unlikely or likely,Somewhat likely,I’m 20% more productive when working remotely,2.0,8.0,2.0,4.0,0.5,8.0,2.0,5.5
2762,1256,1971,Female,Public Administration and Safety,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,No,Couple with dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Neither unlikely or likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,0.5,7.0,7.5,1.0,0.0,7.0,8.0,1.0
