responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
2873,1982,Male,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,same productivity,2.0,10.0,2.0,2.0,2.0,12.0,1.0,1.0
2874,1990,Female,Other,Professionals - Education Professionals,Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro,3-4 days,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,1.0,7.0,4.0,6.0,0.0,6.0,5.0,3.0
2875,1996,Female,Other,Other,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Very likely,Very likely,Very likely,much more productive,1.0,8.0,3.0,3.0,0.0,9.0,5.0,1.0
2876,1997,Female,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,1-2 days,2-3 days,Very likely,Somewhat likely,Very likely,much more productive,1.0,7.0,5.0,1.0,1.0,8.0,3.0,2.0
2877,1991,Male,Other,Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,4-5 days,3-4 days,Somewhat likely,Somewhat likely,Somewhat likely,less productive,2.0,7.5,5.5,1.5,0.5,8.5,5.5,1.5
2878,1977,Male,Other,Managers - Specialist Managers,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,much more productive,0.5,10.0,3.5,3.0,0.0,12.0,2.5,2.5
2879,1986,Male,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,much more productive,2.0,8.0,3.0,3.0,0.0,10.0,2.0,4.0
2880,1990,Female,Information Media and Telecommunications,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Neither unlikely or likely,less productive,2.5,8.0,2.5,2.0,0.5,6.0,3.0,5.0
2881,1977,Female,Health Care and Social Assistance,Other,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,0-1 days,0-1 days,Somewhat likely,Somewhat likely,Very likely,more productive,1.0,8.0,3.0,4.0,1.0,8.0,3.0,4.0
2882,1980,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,more productive,2.0,10.0,2.0,2.0,1.0,8.0,4.0,2.0
2883,1992,Male,Financial and Insurance,Other,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,same productivity,1.0,7.0,3.0,4.0,1.0,8.0,3.0,3.0
2884,1990,Male,Other,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither unlikely or likely,Somewhat unlikely,Neither unlikely or likely,much more productive,0.0,10.0,4.0,2.0,0.5,10.0,4.0,2.5
2885,1986,Male,Other,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,1-2 days,3-4 days,Somewhat likely,Somewhat unlikely,Neither unlikely or likely,same productivity,1.0,2.0,1.0,2.0,2.0,8.0,6.0,7.0
2886,1985,Female,Health Care and Social Assistance,Other,Between 1 and 4,Yes,Single person,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,1-2 days,Somewhat likely,Very likely,Very likely,much more productive,2.0,7.0,2.0,5.0,2.0,6.0,8.0,3.0
2887,1991,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much less productive,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2888,1957,Female,Health Care and Social Assistance,Other,More than 200,No,Single person,More than 5 years,Regional,0-1 days,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat unlikely,more productive,3.0,8.0,1.0,5.0,5.0,9.0,1.0,2.0
2889,1985,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,less productive,3.0,8.5,4.0,2.0,0.25,8.5,6.75,2.0
2890,1999,Female,Other,Other,Between 20 and 199,No,Single person,Between 6 and 12 months,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,1.0,8.0,6.0,2.0,1.0,10.0,5.0,2.0
2891,1976,Male,Other Services,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Very likely,Very likely,Somewhat likely,much more productive,2.0,7.0,2.0,7.0,0.5,7.0,4.0,5.0
2892,1982,Female,Other Services,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,3.0,8.5,2.5,2.0,0.5,10.0,3.5,2.0
2893,1980,Male,Information Media and Telecommunications,Other,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,3-4 days,1-2 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,more productive,1.0,8.0,5.0,2.0,0.0,8.0,5.0,3.0
2894,1983,Male,Other,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,1.5,10.0,2.0,2.0,0.0,11.0,3.0,2.0
2895,1989,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,No,Couple with dependent children,Between 6 and 12 months,Metro,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,2-3 days,2-3 days,Somewhat unlikely,Somewhat unlikely,Somewhat likely,much more productive,0.5,7.5,7.0,2.0,0.0,7.0,8.0,2.0
2896,1985,Male,Retail Trade,Other,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat unlikely,Somewhat likely,Somewhat likely,same productivity,1.5,8.0,3.5,4.0,0.5,9.0,3.5,4.0
2897,1977,Female,Financial and Insurance,Other,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Neither unlikely or likely,Very likely,Very likely,much more productive,2.0,8.0,4.0,2.0,0.0,8.0,6.0,2.0
2898,1984,Male,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,much more productive,3.0,6.0,3.0,4.0,0.0,8.0,4.0,4.0
2899,1979,Male,Financial and Insurance,Other,More than 200,No,Couple with dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,same productivity,2.0,7.0,2.0,5.0,0.5,7.5,5.0,3.0
2900,1989,Female,Other,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Very likely,Very likely,Very likely,less productive,3.0,7.0,4.0,2.0,0.0,8.0,4.0,4.0
2901,1996,Female,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Very likely,Very likely,Very likely,less productive,3.0,8.0,3.0,2.0,0.0,7.0,5.0,3.0
2902,1995,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,4-5 days,Somewhat likely,Somewhat unlikely,Somewhat unlikely,much more productive,3.0,9.0,3.0,1.0,0.0,10.0,4.0,2.0
2903,1990,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 1 and 4,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Very likely,Very unlikely,more productive,1.0,9.0,4.0,1.0,0.0,9.0,4.0,2.0
2904,1991,Female,Education and Training,Professionals - Education Professionals,More than 200,No,Multiple family household,Between 1 and 5 years,Metro,3-4 days,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Somewhat unlikely,Somewhat likely,Somewhat unlikely,same productivity,2.0,7.0,5.0,4.0,0.0,7.0,5.0,4.0
2905,1991,Female,Financial and Insurance,Other,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,2-3 days,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,2-3 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,more productive,2.0,9.0,4.0,1.0,1.5,8.0,5.5,1.0
2906,1993,Female,"Professional, Scientific and Technical",Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,more productive,2.0,8.0,4.5,1.5,0.5,8.0,6.0,1.5
2907,1979,Female,Health Care and Social Assistance,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,2-3 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,1.0,6.0,6.0,4.0,0.5,6.5,6.0,4.0
2908,1992,Female,"Professional, Scientific and Technical",Other,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,1.0,10.0,3.0,2.0,2.0,9.0,3.0,1.0
2909,1982,Female,Other,Other,Between 5 and 19,No,One parent family with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,same productivity,1.5,8.0,4.0,3.0,0.0,8.0,4.0,4.0
2910,1993,Female,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Yes,Other one family household,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat unlikely,Somewhat likely,Somewhat likely,more productive,2.0,6.0,6.0,2.0,0.0,7.0,6.0,3.0
2911,1982,Female,"Professional, Scientific and Technical",Other,More than 200,Yes,One parent family with dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Very likely,much more productive,3.0,7.0,4.0,4.0,0.5,7.0,5.5,5.0
2912,1980,Female,Other,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,No,One parent family with dependent children,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,3-4 days,2-3 days,Very likely,Very likely,Somewhat likely,more productive,5.0,8.0,1.0,3.0,2.0,9.0,3.0,3.0
2913,1976,Female,Financial and Insurance,Managers - Specialist Managers,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Very unlikely,Very unlikely,Very unlikely,same productivity,2.5,9.0,2.5,2.0,0.5,9.0,5.5,2.0
2914,1979,Female,Health Care and Social Assistance,Other,More than 200,No,One parent family with dependent children,Between 1 and 5 years,Metro,0-1 days,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,1-2 days,1-2 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,more productive,3.0,8.0,2.0,4.0,1.0,9.0,2.0,5.0
2915,1962,Female,"Professional, Scientific and Technical",Other,Between 20 and 199,No,One parent family with dependent children,Between 1 and 5 years,Regional,4-5 days,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,much more productive,0.0,8.0,4.0,5.0,0.0,8.0,4.0,5.0
2916,1988,Female,Other,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat unlikely,much more productive,3.0,8.5,4.0,1.0,0.0,8.5,6.5,1.0
2917,1998,Female,Other Services,Managers - Specialist Managers,Between 20 and 199,No,Multiple family household,Between 6 and 12 months,Metro,0-1 days,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,1-2 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,same productivity,2.0,7.0,2.0,3.0,0.0,7.0,3.5,3.5
2918,1985,I would rather not say,Other,"Professionals - Business, Human Resource and Marketing Professionals",I am a sole trader/owner-operator,Yes,Couple with no dependent children,More than 5 years,Metro,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,0-1 days,1-2 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,2.0,8.0,4.0,4.0,0.0,8.0,6.0,4.0
2919,1992,Female,Retail Trade,Other,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,0-1 days,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,4-5 days,4-5 days,Very unlikely,Very unlikely,Very unlikely,less productive,1.0,8.0,4.0,2.0,0.0,7.0,5.0,3.0
2920,1984,Male,Financial and Insurance,Professionals - ICT Professionals,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,less productive,1.0,8.0,5.0,2.0,0.0,9.0,5.0,2.0
2921,1977,Female,Information Media and Telecommunications,Other,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,0.0,9.0,5.0,4.0,0.0,9.0,5.0,4.0
2922,1994,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,3-4 days,3-4 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,2.0,9.0,5.0,0.0,0.5,9.0,6.5,0.0
2923,1979,Female,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,much more productive,3.5,9.0,2.5,2.0,0.5,10.5,3.0,2.0
2924,1976,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0-1 days,0-1 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,more productive,2.5,8.0,5.0,1.0,0.5,9.5,5.0,1.0
2925,1987,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Very likely,much more productive,2.0,8.0,4.0,2.0,0.5,9.0,5.0,1.5
2926,1984,Female,Other,Other,More than 200,No,Couple with no dependent children,More than 5 years,Regional,1-2 days,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat unlikely,much more productive,1.0,8.0,5.0,2.0,0.5,8.0,4.5,3.0
2927,1984,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Group household,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,3.0,8.0,2.0,5.0,0.0,9.0,4.0,4.0
2928,1983,Male,Education and Training,Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,2-3 days,Somewhat likely,Very likely,Very likely,much more productive,1.5,7.5,4.0,3.0,0.25,7.5,5.2,3.0
2929,1993,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Very likely,less productive,3.0,8.0,3.0,2.0,1.0,7.5,6.0,1.0
2930,1979,Male,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Somewhat likely,Neither unlikely or likely,Somewhat likely,less productive,2.0,9.0,3.0,2.0,0.0,10.0,3.0,3.0
2931,1993,Male,Health Care and Social Assistance,Other,I am a sole trader/owner-operator,No,Group household,Between 1 and 5 years,Metro,0-1 days,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,1-2 days,0-1 days,Neither unlikely or likely,Neither unlikely or likely,Very unlikely,less productive,1.0,8.0,3.0,3.0,0.0,8.0,4.0,3.0
2932,1977,Female,Other,Other,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,much more productive,3.0,7.5,3.5,2.0,0.5,7.5,5.0,3.0
2933,1980,Male,Education and Training,Professionals - Education Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,0-1 days,0-1 days,Very unlikely,Very likely,Very unlikely,much more productive,2.0,6.0,6.0,2.0,1.0,8.0,4.0,3.0
2934,1976,Female,Information Media and Telecommunications,Other,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,much more productive,5.0,7.0,3.0,0.0,0.5,9.0,5.0,1.0
2935,1983,Female,Other Services,Other,Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,2.0,7.0,3.0,3.0,0.0,7.0,5.0,3.0
2936,1982,Female,Other,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,One parent family with dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,2-3 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,more productive,2.5,8.5,1.0,4.0,0.5,8.5,3.0,4.0
2937,1991,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,2-3 days,3-4 days,Very likely,Somewhat likely,Very likely,much more productive,1.0,8.0,3.0,4.0,1.0,8.0,3.0,4.0
2938,1994,Female,Other,Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,3-4 days,3-4 days,Somewhat likely,Neither unlikely or likely,Somewhat likely,much more productive,3.5,7.5,3.0,2.0,1.0,8.0,3.0,2.0
2939,1989,Male,Other,Professionals - ICT Professionals,Between 5 and 19,No,Single person,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Neither unlikely or likely,much more productive,2.0,8.0,4.0,2.0,0.0,10.0,5.0,2.0
2940,1983,Female,Information Media and Telecommunications,Other,More than 200,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,4-5 days,3-4 days,Very likely,Very unlikely,Very unlikely,much more productive,1.5,8.5,3.0,2.0,0.0,9.5,3.0,2.0
2941,1978,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,0-1 days,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,0-1 days,0-1 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,same productivity,0.5,10.0,3.0,2.5,0.25,10.0,3.7,2.0
2942,1982,Female,Health Care and Social Assistance,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,3.0,8.0,5.0,2.0,0.0,9.0,5.0,2.0
2943,1991,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat unlikely,Somewhat unlikely,Very unlikely,much more productive,4.0,8.0,2.0,1.0,2.0,8.0,3.0,3.0
2944,1985,Male,"Professional, Scientific and Technical",Other,Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,4-5 days,4-5 days,Very unlikely,Somewhat unlikely,Very unlikely,more productive,3.5,8.5,3.0,2.0,0.5,9.0,4.5,2.0
2945,1978,Female,"Professional, Scientific and Technical",Other,More than 200,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,same productivity,2.0,9.0,4.0,1.0,0.5,8.0,5.5,2.0
2946,1979,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,4-5 days,2-3 days,Very unlikely,Somewhat unlikely,Somewhat unlikely,same productivity,2.0,8.5,3.5,2.0,0.5,9.0,4.5,2.0
2947,1986,Female,Health Care and Social Assistance,Other,Between 20 and 199,No,Multiple family household,More than 5 years,Metro,0-1 days,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,2-3 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,less productive,5.0,8.5,2.5,1.0,0.5,8.5,7.0,2.0
